,Buy&Hold,SMA 50/200 (Golden Cross),SMA 10/20 (backtesting.py),RSI(2) MeanRev (Connors),Bollinger MeanRev,MACD Crossover,Donchian Breakout (Turtle)
MSFT,20.2,18.1,10.8,4.8,11.9,-0.9,11.5
NVDA,72.4,62.7,44.1,20.3,21.5,32.2,42.4
TSLA,46.3,29.1,73.8,2.1,-0.6,52.5,51.4
AMZN,16.4,4.8,8.7,-0.1,6.5,3.4,9.4
GOOGL,28.5,22.5,17.2,9.4,2.2,14.1,13.8
META,21.3,20.6,15.8,5.9,8.0,4.1,10.8
JPM,21.0,13.7,2.7,0.8,6.2,11.7,11.2
KO,11.1,2.9,7.0,4.3,3.4,4.4,-2.2
XOM,14.8,12.5,9.6,3.3,0.3,9.8,2.4
JNJ,12.6,2.3,7.6,2.7,1.8,9.0,6.3
