,Buy&Hold,SMA 50/200 (Golden Cross),SMA 10/20 (backtesting.py),RSI(2) MeanRev (Connors),Bollinger MeanRev,MACD Crossover,Donchian Breakout (Turtle)
MSFT,-37.1,-28.0,-34.6,-15.8,-21.6,-44.6,-23.5
NVDA,-66.3,-37.6,-55.5,-24.8,-40.0,-52.7,-29.3
TSLA,-73.6,-65.1,-35.0,-44.4,-52.1,-44.8,-41.8
AMZN,-56.1,-42.9,-33.3,-17.6,-35.0,-39.5,-24.0
GOOGL,-44.3,-30.9,-38.3,-11.4,-28.4,-43.5,-35.7
META,-76.7,-34.6,-45.9,-30.6,-26.1,-78.8,-46.9
JPM,-43.6,-43.6,-51.5,-36.0,-37.6,-36.8,-25.7
KO,-37.0,-37.0,-19.7,-10.3,-29.4,-18.7,-30.1
XOM,-60.3,-30.4,-29.8,-12.9,-57.7,-28.9,-34.8
JNJ,-27.4,-47.3,-18.6,-8.7,-24.1,-19.9,-14.5
