Date,SPY|Buy&Hold,SPY|SMA 50/200 (Golden Cross),SPY|SMA 10/20 (backtesting.py),SPY|RSI(2) MeanRev (Connors),SPY|Bollinger MeanRev,SPY|MACD Crossover,SPY|Donchian Breakout (Turtle),QQQ|Buy&Hold,QQQ|SMA 50/200 (Golden Cross),QQQ|SMA 10/20 (backtesting.py),QQQ|RSI(2) MeanRev (Connors),QQQ|Bollinger MeanRev,QQQ|MACD Crossover,QQQ|Donchian Breakout (Turtle),AAPL|Buy&Hold,AAPL|SMA 50/200 (Golden Cross),AAPL|SMA 10/20 (backtesting.py),AAPL|RSI(2) MeanRev (Connors),AAPL|Bollinger MeanRev,AAPL|MACD Crossover,AAPL|Donchian Breakout (Turtle),BTC-USD|Buy&Hold,BTC-USD|SMA 50/200 (Golden Cross),BTC-USD|SMA 10/20 (backtesting.py),BTC-USD|RSI(2) MeanRev (Connors),BTC-USD|Bollinger MeanRev,BTC-USD|MACD Crossover,BTC-USD|Donchian Breakout (Turtle)
2019-01,8.01,0.0,4.22,0.0,1.73,7.84,3.63,9.01,0.0,4.21,0.0,2.43,3.96,3.51,5.52,0.0,8.52,0.0,-1.82,5.52,0.67,-7.61,0.0,-5.79,0.0,0.23,-1.53,0.0
2019-02,3.24,0.0,3.24,0.0,0.0,3.24,3.24,2.99,0.0,2.99,0.0,0.0,2.99,2.99,4.48,0.0,4.48,0.0,0.0,4.48,4.48,11.48,0.0,5.6,0.0,5.99,3.38,4.95
2019-03,1.81,0.43,1.81,0.0,0.0,-1.26,0.26,3.92,0.0,3.92,0.0,0.0,-0.22,1.86,9.7,0.0,9.7,0.0,0.0,4.99,9.7,6.5,0.0,6.11,0.0,0.0,-0.89,-1.15
2019-04,4.09,4.09,4.09,0.0,0.0,1.09,4.09,5.5,4.07,5.5,0.0,0.0,3.68,5.5,5.64,0.0,5.64,0.0,0.0,2.7,5.64,30.33,-2.14,30.33,0.0,0.0,23.36,30.33
2019-05,-6.38,-6.38,-2.06,-0.87,-2.04,-0.8,-2.12,-8.23,-8.23,-2.44,-0.59,-2.64,-0.05,-1.79,-12.42,-15.75,-7.14,-8.28,-5.78,0.0,-1.41,60.25,60.25,60.25,0.0,0.0,31.13,60.25
2019-06,6.96,6.96,1.62,1.86,2.74,3.33,1.84,7.59,7.59,2.42,1.25,4.02,3.33,1.81,13.05,13.05,1.87,4.67,5.74,6.8,1.55,26.15,26.15,7.55,4.26,0.0,22.33,9.91
2019-07,1.51,1.51,1.51,0.0,0.0,1.57,1.51,2.33,2.33,2.33,0.0,0.0,2.24,2.33,7.64,7.64,7.64,0.0,0.0,4.7,7.64,-6.76,-6.76,-15.77,5.79,6.36,-2.21,-5.23
2019-08,-1.67,-1.67,-4.71,-1.38,-0.91,-2.79,-0.92,-1.9,-1.9,-4.31,1.48,0.58,-3.85,-0.55,-1.65,-1.65,-8.38,8.31,8.39,-7.19,-11.0,-4.51,-4.51,-12.45,1.25,3.06,-4.53,-8.46
2019-09,1.95,1.95,1.95,-0.53,0.0,1.59,0.99,0.92,0.92,0.92,0.4,0.0,0.42,-1.89,7.3,7.3,7.3,0.0,0.0,1.96,7.3,-13.88,-13.88,-1.77,-15.73,-14.8,-4.26,0.0
2019-10,2.21,2.21,0.49,-0.87,0.93,1.44,1.06,4.38,4.38,1.99,-0.05,3.73,3.07,1.79,11.07,11.07,11.07,0.0,0.0,9.5,11.07,10.92,11.41,-5.34,0.55,19.14,-3.41,6.17
2019-11,3.62,3.62,3.62,0.0,0.0,2.26,3.62,4.07,4.07,4.07,0.0,0.0,2.0,4.07,7.76,7.76,7.76,0.0,0.0,6.07,7.76,-17.72,0.0,-4.3,0.0,-10.91,-4.24,-4.34
2019-12,2.91,2.91,2.91,1.62,0.0,0.96,0.35,3.89,3.89,3.89,1.68,0.0,1.68,1.22,9.88,9.88,9.88,2.26,0.0,4.88,5.2,-4.97,0.0,-1.95,0.0,8.0,-10.48,0.0
2020-01,-0.04,-0.04,-0.04,-0.6,0.0,-0.02,0.46,3.04,3.04,3.04,1.96,0.0,2.53,2.53,5.4,5.4,5.4,4.88,0.0,8.34,0.3,29.98,0.0,29.98,0.0,0.0,16.64,7.45
2020-02,-7.92,-7.92,-9.37,-6.12,-5.29,0.29,-3.23,-6.06,-6.06,-6.18,-7.09,-4.49,0.8,-2.77,-11.47,-11.47,-6.75,-8.37,-8.37,0.0,-3.92,-8.03,-10.78,6.09,1.94,-7.99,0.85,3.58
2020-03,-12.49,-12.49,0.0,4.28,-12.49,-1.37,0.0,-7.29,-7.29,0.0,5.11,-6.6,-0.83,0.0,-6.98,-6.98,0.0,1.24,-6.98,2.59,0.0,-25.13,-22.35,3.09,3.09,-21.72,4.04,0.0
2020-04,12.7,-0.05,9.62,0.0,2.71,12.7,5.95,14.97,14.97,19.33,0.0,0.0,14.97,9.09,15.54,15.54,13.19,5.34,3.17,15.54,2.3,34.48,0.0,24.44,0.0,0.0,34.48,13.77
2020-05,4.76,0.0,4.76,0.0,0.0,0.94,-0.09,6.6,-0.13,6.6,0.0,0.0,2.32,6.6,8.51,8.51,8.51,0.0,0.0,8.51,8.51,9.27,4.12,1.99,6.81,0.0,-0.71,-0.71
2020-06,1.77,0.0,2.94,4.0,0.0,-1.27,-1.27,6.29,6.29,6.29,0.0,0.0,-2.27,6.29,14.74,14.74,14.74,0.0,0.0,8.39,14.74,-3.41,-3.41,-2.23,5.74,0.0,-5.03,-8.41
2020-07,5.89,2.93,3.22,0.0,0.0,2.12,2.76,7.35,7.35,7.35,0.0,0.0,-0.5,4.15,16.51,16.51,16.51,3.5,0.0,-0.56,1.75,23.92,23.92,16.85,0.76,0.0,19.04,18.82
2020-08,6.98,6.98,6.98,0.0,0.0,4.65,6.98,10.94,10.94,10.94,2.65,0.0,4.89,9.41,21.66,21.66,21.66,0.0,0.0,21.6,21.6,3.16,3.16,-0.05,0.0,0.0,0.72,0.33
2020-09,-3.74,-3.74,-2.67,1.29,0.0,-1.98,-4.66,-5.78,-5.78,-6.73,3.27,0.0,-3.88,-8.5,-10.25,-10.25,-10.65,-0.99,0.0,-6.37,-12.61,-7.67,-7.67,-0.96,3.82,7.02,-0.16,0.0
2020-10,-2.49,-2.49,-4.23,0.91,-0.09,2.14,-0.5,-3.04,-3.04,-3.14,-5.13,0.0,2.18,-1.93,-6.0,-6.0,-4.65,0.43,0.0,-0.03,-1.75,27.79,27.79,26.19,1.04,0.0,27.79,21.93
2020-11,10.88,10.88,1.46,2.85,5.15,3.32,2.06,11.23,11.23,3.84,6.45,6.4,1.73,1.65,9.55,9.55,-0.23,2.3,9.23,-4.17,-5.46,42.41,42.41,42.41,6.14,0.0,24.39,24.08
2020-12,3.7,3.7,3.7,1.25,0.0,1.24,3.7,4.9,4.9,4.9,0.0,0.0,0.52,4.9,11.46,11.46,12.1,0.0,0.0,8.07,8.07,47.77,47.77,47.77,0.0,0.0,36.03,26.47
2021-01,-1.02,-1.02,-1.02,-1.21,0.0,-3.54,0.09,0.26,0.26,0.26,0.0,0.0,-2.89,-2.2,-0.55,-0.55,-9.01,1.94,0.0,-6.41,-8.1,14.18,14.18,6.24,25.17,0.0,16.91,6.24
2021-02,2.78,2.78,2.78,4.21,0.0,-0.27,0.12,-0.13,-0.13,-0.13,-5.15,0.37,0.52,2.45,-7.97,-7.97,2.5,-5.35,-3.81,1.6,1.03,36.31,36.31,22.18,-7.6,0.0,32.51,23.34
2021-03,4.54,4.54,1.96,0.0,3.32,-1.27,-1.27,1.72,1.72,0.06,2.96,1.44,0.17,0.0,0.73,0.73,-0.37,5.33,3.5,-1.53,0.0,30.53,30.53,5.36,11.01,0.0,6.26,-5.76
2021-04,5.29,5.29,5.29,0.0,0.0,3.97,5.29,5.91,5.91,5.91,0.0,0.0,6.53,4.08,7.62,7.62,4.31,0.0,0.0,9.22,4.36,-1.98,-1.98,-11.39,2.31,11.51,-8.69,-6.08
2021-05,0.66,0.66,-1.6,2.65,2.65,0.13,-0.79,-1.2,-1.2,-2.7,4.06,0.62,0.38,-2.37,-5.05,-5.05,-2.6,2.8,-2.42,0.0,-0.05,-35.35,-35.35,-18.65,-20.13,-20.24,-14.98,-16.5
2021-06,2.24,2.24,2.24,1.87,0.0,0.7,-0.96,6.26,6.26,6.21,0.0,0.0,6.26,5.68,9.91,9.91,4.91,0.93,0.98,8.73,4.91,-6.14,-4.65,-14.3,0.0,18.74,-13.78,-21.32
2021-07,2.44,2.44,2.44,0.64,0.0,0.09,-1.14,2.86,2.86,2.86,1.01,0.0,-0.37,0.14,6.5,6.5,6.5,2.95,0.0,6.11,6.5,18.79,0.0,2.15,0.0,6.77,16.72,17.7
2021-08,2.98,2.98,2.98,0.85,0.0,-2.01,2.98,4.22,4.22,4.22,1.42,1.42,1.44,2.02,4.25,4.25,2.19,2.16,0.0,-2.65,4.25,13.31,0.0,13.31,0.0,0.0,4.58,13.31
2021-09,-4.66,-4.66,-1.99,-1.07,-1.18,-0.19,-1.4,-5.68,-5.68,-3.69,1.59,-2.17,-0.93,-1.28,-6.8,-6.8,-5.9,-1.87,-1.06,-1.98,-2.49,-7.16,-9.15,-2.39,0.0,7.56,-11.16,-0.8
2021-10,7.02,7.02,2.65,1.24,2.17,4.83,2.95,7.86,7.86,2.78,1.35,2.37,5.26,2.78,5.87,5.87,0.65,3.16,1.55,4.15,0.65,40.03,40.03,18.98,0.0,9.82,26.5,22.79
2021-11,-0.8,-0.8,-0.8,-0.79,0.0,1.73,-0.11,2.0,2.0,2.0,1.86,0.0,2.89,2.0,10.51,10.51,10.51,1.3,0.0,6.39,6.39,-7.03,-7.03,-8.83,-4.94,0.06,-4.3,-11.05
2021-12,4.62,4.62,1.18,2.74,2.69,-1.21,-2.26,1.15,1.15,-3.72,0.97,2.66,-1.44,-3.17,7.42,7.42,7.42,0.0,0.0,3.48,7.42,-18.77,-18.77,-8.91,-6.63,-14.74,-0.91,-8.71
2022-01,-5.27,-5.27,-2.2,-3.1,-0.46,-1.53,-1.92,-8.75,-8.75,-3.07,-3.82,-0.99,-3.46,-3.46,-1.57,-1.57,-3.08,4.09,2.36,0.0,-3.19,-16.89,-6.97,0.28,0.0,-11.72,-15.57,0.0
2022-02,-2.95,-2.95,-4.49,0.0,5.09,-4.53,0.0,-4.48,-4.48,-4.82,0.0,6.75,-7.42,0.0,-5.41,-5.41,-8.53,0.44,0.0,-3.25,-4.43,12.24,0.0,-12.67,0.0,7.79,3.97,-4.51
2022-03,3.76,-0.28,0.41,0.0,-0.28,-0.53,1.55,4.67,0.07,1.51,0.0,-1.92,-0.24,3.22,5.75,5.75,-0.11,2.14,5.87,6.43,3.38,5.43,0.0,9.3,0.0,0.0,-1.7,6.12
2022-04,-8.78,0.0,-1.89,0.0,-3.34,-0.69,-2.64,-13.6,0.0,-4.51,0.0,-1.28,-3.74,-3.74,-9.71,-9.71,-5.38,3.77,0.49,-2.64,-2.64,-17.18,0.0,-7.36,0.0,-4.62,-0.01,-5.17
2022-05,0.23,0.0,0.0,0.0,-1.67,4.78,0.0,-1.59,0.0,0.0,0.0,-1.37,5.79,0.0,-5.45,-5.45,0.0,0.0,7.4,-0.58,0.0,-15.7,0.0,0.0,0.0,-8.83,0.16,0.16
2022-06,-8.25,0.0,-9.24,0.0,0.98,-11.92,0.0,-8.91,0.0,-11.46,0.0,7.07,-15.09,0.0,-8.14,-2.37,-7.42,0.0,7.31,-12.47,0.0,-37.77,0.0,-17.84,0.0,-26.12,-22.62,-8.57
2022-07,9.21,0.0,5.86,0.0,1.54,9.21,4.97,12.55,0.0,6.89,0.0,0.0,12.55,5.7,18.86,0.0,14.74,0.0,0.0,18.86,9.4,17.95,0.0,16.8,0.0,3.81,17.95,7.8
2022-08,-4.08,0.0,-3.39,0.0,-0.81,0.28,-1.67,-5.13,0.0,-3.55,0.0,-2.71,2.29,-0.4,-3.12,0.0,-2.13,1.37,-1.11,3.21,0.77,-14.09,0.0,-7.77,0.0,-4.01,-3.71,-10.58
2022-09,-9.24,0.0,0.0,0.0,0.85,0.0,0.0,-10.54,0.0,0.0,0.0,-10.54,0.0,0.0,-12.1,-8.38,0.0,0.0,-12.1,0.0,0.0,-3.08,0.0,-17.18,0.0,6.59,-9.29,-12.95
2022-10,8.13,0.0,0.28,0.0,3.85,-0.04,1.89,4.0,0.0,-0.04,0.0,3.0,-2.65,-2.25,10.96,1.32,0.61,0.0,6.51,7.62,0.61,5.48,0.0,-4.52,0.0,0.0,2.96,0.73
2022-11,5.56,0.0,5.56,0.0,0.0,5.56,5.56,5.54,0.0,-2.52,0.0,0.0,-2.86,-7.01,-3.3,0.0,-11.97,0.0,0.0,-14.89,-9.48,-16.23,0.0,-22.56,0.0,-7.46,-6.56,-9.58
2022-12,-5.76,0.0,-4.48,0.0,-0.27,-3.45,-3.45,-9.01,0.0,-6.92,0.0,-2.72,-4.03,-4.47,-12.23,0.0,-4.84,0.0,-4.86,0.0,0.0,-3.62,0.0,-0.98,0.0,-0.05,-5.53,-3.5
2023-01,6.29,0.38,2.35,0.0,1.43,4.75,1.95,10.64,0.0,4.81,0.0,2.41,8.85,4.59,11.05,0.0,6.66,0.0,2.69,10.81,4.61,39.84,0.0,34.49,0.0,0.0,36.8,36.43
2023-02,-2.51,-2.51,-2.0,-0.76,0.0,0.33,-1.87,-0.36,0.0,-0.99,-0.21,0.0,2.89,-0.25,2.32,0.0,2.32,-0.77,0.0,3.01,3.01,0.03,-0.55,-12.86,2.73,11.29,-5.66,-6.36
