Date,MSFT|Buy&Hold,MSFT|SMA 50/200 (Golden Cross),MSFT|SMA 10/20 (backtesting.py),MSFT|RSI(2) MeanRev (Connors),MSFT|Bollinger MeanRev,MSFT|MACD Crossover,MSFT|Donchian Breakout (Turtle),NVDA|Buy&Hold,NVDA|SMA 50/200 (Golden Cross),NVDA|SMA 10/20 (backtesting.py),NVDA|RSI(2) MeanRev (Connors),NVDA|Bollinger MeanRev,NVDA|MACD Crossover,NVDA|Donchian Breakout (Turtle),TSLA|Buy&Hold,TSLA|SMA 50/200 (Golden Cross),TSLA|SMA 10/20 (backtesting.py),TSLA|RSI(2) MeanRev (Connors),TSLA|Bollinger MeanRev,TSLA|MACD Crossover,TSLA|Donchian Breakout (Turtle),AMZN|Buy&Hold,AMZN|SMA 50/200 (Golden Cross),AMZN|SMA 10/20 (backtesting.py),AMZN|RSI(2) MeanRev (Connors),AMZN|Bollinger MeanRev,AMZN|MACD Crossover,AMZN|Donchian Breakout (Turtle),GOOGL|Buy&Hold,GOOGL|SMA 50/200 (Golden Cross),GOOGL|SMA 10/20 (backtesting.py),GOOGL|RSI(2) MeanRev (Connors),GOOGL|Bollinger MeanRev,GOOGL|MACD Crossover,GOOGL|Donchian Breakout (Turtle),META|Buy&Hold,META|SMA 50/200 (Golden Cross),META|SMA 10/20 (backtesting.py),META|RSI(2) MeanRev (Connors),META|Bollinger MeanRev,META|MACD Crossover,META|Donchian Breakout (Turtle),JPM|Buy&Hold,JPM|SMA 50/200 (Golden Cross),JPM|SMA 10/20 (backtesting.py),JPM|RSI(2) MeanRev (Connors),JPM|Bollinger MeanRev,JPM|MACD Crossover,JPM|Donchian Breakout (Turtle),KO|Buy&Hold,KO|SMA 50/200 (Golden Cross),KO|SMA 10/20 (backtesting.py),KO|RSI(2) MeanRev (Connors),KO|Bollinger MeanRev,KO|MACD Crossover,KO|Donchian Breakout (Turtle),XOM|Buy&Hold,XOM|SMA 50/200 (Golden Cross),XOM|SMA 10/20 (backtesting.py),XOM|RSI(2) MeanRev (Connors),XOM|Bollinger MeanRev,XOM|MACD Crossover,XOM|Donchian Breakout (Turtle),JNJ|Buy&Hold,JNJ|SMA 50/200 (Golden Cross),JNJ|SMA 10/20 (backtesting.py),JNJ|RSI(2) MeanRev (Connors),JNJ|Bollinger MeanRev,JNJ|MACD Crossover,JNJ|Donchian Breakout (Turtle)
2019-01,2.82,0.0,2.28,0.0,1.16,2.27,-0.95,7.68,0.0,-3.46,0.0,7.36,-1.47,-8.35,-7.75,0.0,-12.91,0.0,0.72,-10.8,-13.06,14.43,0.0,3.52,0.0,4.84,3.45,-4.91,7.74,0.0,3.68,0.0,0.88,4.9,3.68,27.16,0.0,15.54,0.0,5.18,20.77,9.74,6.88,0.0,3.04,0.0,3.93,5.01,2.49,1.65,0.0,2.22,0.0,0.41,2.03,0.81,7.46,0.0,2.25,0.0,5.59,2.94,-2.41,3.12,0.0,3.69,0.0,0.49,2.35,-1.88
2019-02,7.74,0.0,6.39,0.0,0.0,1.49,2.22,7.42,0.0,4.72,0.0,0.0,3.46,0.0,4.19,0.0,-6.69,0.0,0.0,-5.54,0.0,-4.59,0.0,-5.02,0.0,0.0,-5.6,-7.69,0.06,0.0,0.06,0.0,0.0,-3.04,0.06,-3.14,0.0,-1.59,0.0,0.0,-1.69,-1.69,0.83,0.0,-2.59,0.0,0.0,-2.3,-2.3,-5.8,0.0,-6.34,0.0,-0.6,-5.32,-5.32,9.04,0.0,9.04,0.0,0.0,9.04,8.99,3.36,0.0,3.36,0.0,0.0,3.36,3.36
2019-03,5.28,0.2,5.28,0.0,0.0,1.23,5.28,16.4,0.0,11.13,0.0,0.0,11.99,11.38,-12.51,0.0,0.0,0.0,-2.46,-15.06,0.0,8.59,0.0,6.47,0.0,0.0,5.25,-0.78,4.47,0.0,1.93,-0.15,0.0,3.49,4.52,3.25,0.0,-1.78,0.0,0.0,-3.88,-6.39,-3.0,0.0,-5.5,0.0,1.42,-3.53,-3.76,4.25,2.8,2.49,0.0,1.8,2.31,1.97,2.24,0.0,2.24,0.0,0.0,-0.08,2.24,2.31,0.92,1.36,0.0,0.0,0.96,0.65
2019-04,10.73,10.73,10.73,0.0,0.0,5.81,10.73,0.8,0.0,-0.87,0.0,1.58,2.81,-0.87,-14.71,0.0,-0.04,0.0,-3.66,-8.65,-8.36,8.19,1.23,8.19,0.0,0.0,3.54,8.19,1.88,1.83,2.87,1.83,0.0,-2.72,-3.37,16.02,11.39,9.82,0.0,0.0,10.97,10.97,15.52,0.0,10.61,0.0,3.32,11.17,4.3,4.69,1.27,4.69,0.7,0.0,4.69,4.69,-0.64,-2.21,-0.43,0.0,0.0,-1.39,-3.79,1.01,1.01,1.06,0.2,1.71,1.88,-2.26
2019-05,-4.95,-4.95,-5.15,-1.06,0.0,-1.93,-3.95,-25.07,0.0,0.0,0.0,-25.07,0.0,0.0,-22.43,0.0,0.0,0.0,-22.43,-11.19,0.0,-7.86,-7.86,-4.53,-1.47,4.55,-1.38,-1.43,-7.71,-7.71,-1.73,-0.31,0.0,-0.05,-0.05,-8.24,-8.24,-3.36,-1.36,0.0,-2.04,-2.5,-8.69,-7.98,-4.99,-4.25,-3.24,-2.5,-2.5,0.14,1.31,0.14,1.57,0.0,-6.34,-3.58,-10.84,-10.84,0.0,-1.67,-9.06,0.0,0.0,-6.48,-6.48,-3.09,-0.47,-0.19,-3.15,-1.8
2019-06,8.31,8.31,-1.84,1.69,4.89,1.99,1.9,21.24,0.0,13.18,0.0,9.52,14.17,6.52,20.68,0.0,4.41,0.0,14.91,13.61,-0.75,6.68,6.68,0.35,2.36,9.81,1.72,0.35,-2.14,-2.14,-3.83,0.0,6.3,-0.8,0.0,8.75,8.75,2.89,5.5,10.36,8.7,2.06,5.51,5.51,1.75,7.34,3.88,-2.44,0.0,4.45,4.45,4.45,0.0,0.0,1.76,4.45,8.28,6.38,3.02,0.0,5.33,3.07,-0.02,6.2,6.2,-1.07,0.0,4.16,0.48,0.14
2019-07,1.72,1.72,1.72,1.48,0.0,-3.64,-0.58,2.73,0.0,2.73,0.0,0.0,2.73,2.73,8.12,0.0,8.12,0.0,0.0,2.35,2.35,-1.42,-1.42,0.21,-1.86,-1.72,3.69,2.56,12.5,5.31,12.5,1.36,0.0,12.5,7.5,0.64,0.64,0.64,2.12,0.0,2.73,1.47,4.49,4.49,2.66,-0.05,0.0,4.44,4.44,3.36,3.36,3.36,6.92,0.0,-3.18,-2.33,-2.96,0.0,-2.38,0.0,-0.69,-1.55,-1.55,-6.5,-6.5,1.33,1.95,-3.09,-0.05,-0.05
2019-08,1.5,1.5,0.94,1.82,4.95,-4.04,-3.03,-0.62,-2.27,-8.58,-6.29,13.14,-1.92,-2.3,-6.62,0.0,-3.06,0.0,6.67,0.0,0.0,-4.85,-4.85,0.0,-1.86,-4.85,-3.69,0.0,-2.27,-1.35,-4.41,7.92,0.0,-3.92,-5.35,-4.41,-4.41,-0.05,-0.04,-3.81,0.0,0.0,-5.29,-5.29,-4.85,-3.86,-0.42,0.49,-2.69,4.58,4.58,2.15,2.11,0.0,0.91,4.58,-6.76,0.0,0.0,0.0,-6.76,-2.76,0.0,-0.69,0.96,-3.36,0.0,2.28,-2.88,-4.36
2019-09,0.85,0.85,0.85,0.0,0.0,-1.05,-0.78,3.92,3.92,2.49,0.63,0.0,3.04,-1.66,6.76,0.0,3.87,0.0,-0.05,-1.16,-5.33,-2.27,-2.27,-3.54,-2.82,0.94,0.46,-2.63,2.57,2.57,-0.57,0.0,0.0,-1.3,0.69,-4.09,-4.09,-4.68,-1.81,-1.18,-2.41,-5.14,7.13,7.13,7.07,0.26,0.0,6.47,4.04,-0.37,-0.37,-0.8,0.0,0.0,-0.99,-1.21,3.11,0.0,-1.28,0.0,1.13,3.58,-0.59,0.79,0.0,-0.17,0.0,0.88,-1.97,-2.22
2019-10,3.12,3.12,0.6,4.26,2.48,-2.14,-0.26,15.48,15.48,9.77,0.0,0.0,6.79,8.03,30.74,0.0,24.36,0.0,0.0,22.36,26.98,2.35,-0.95,1.04,0.17,1.76,2.27,0.0,3.08,3.08,-2.23,0.31,3.28,1.28,-0.87,7.62,7.62,1.06,0.68,3.38,6.4,0.61,6.99,6.99,-0.36,-1.88,0.0,4.08,4.08,-0.02,-0.02,1.21,2.65,2.65,-2.6,-2.6,-4.31,0.0,-4.59,0.0,0.1,-1.75,0.0,2.06,0.0,-1.48,0.0,0.0,-5.96,-3.35
