token,tf,bars,cycles,reach30,reach60,reach100,final30,final60,final100,open,resolved,wins,pnl
AAOI,8H,168,4,4,4,1,0,3,1,1,3,2,5.33
AAOI,12H,113,2,2,1,1,1,0,1,1,1,1,8.47
AAPL,8H,417,13,13,10,6,3,4,6,0,13,12,47.04
AAPL,12H,279,8,8,6,6,2,0,6,0,8,8,47.12
ADBE,8H,144,4,4,4,4,0,0,4,0,4,3,0.26
ADBE,12H,97,2,2,2,0,0,2,0,0,2,1,1.75
ALAB,8H,105,2,2,2,2,0,0,2,1,1,1,26.02
ALAB,12H,71,2,2,2,1,0,1,1,1,1,1,35.29
AMAT,8H,162,4,4,3,3,1,0,3,1,3,3,126.38
AMAT,12H,109,3,3,3,1,0,2,1,1,2,2,74.66
AMD,8H,396,8,8,6,4,2,2,4,1,7,6,93.66
AMD,12H,265,7,7,5,4,2,1,4,1,6,6,164.09
AMZN,8H,435,11,11,9,6,2,3,6,0,11,9,25.25
AMZN,12H,291,7,7,6,5,1,1,5,0,7,6,31.85
ANTHROPIC,8H,225,5,5,5,5,0,0,5,1,4,3,355.21
ANTHROPIC,12H,151,3,3,3,2,0,1,2,1,2,2,198.20
APLD,8H,45,1,1,1,1,0,0,1,1,0,0,0.00
APLD,12H,31,1,1,1,1,0,0,1,1,0,0,0.00
ARM,8H,249,6,6,5,4,1,1,4,1,5,4,32.96
ARM,12H,167,4,4,3,2,1,1,2,1,3,3,67.88
ASML,8H,144,4,4,3,3,1,0,3,1,3,3,140.54
ASML,12H,97,4,4,3,2,1,1,2,1,3,3,222.92
ASTS,8H,147,2,2,2,2,0,0,2,1,1,0,-1.85
ASTS,12H,99,2,2,2,2,0,0,2,1,1,1,7.11
AVGO,8H,249,9,9,7,6,2,1,6,1,8,7,74.36
AVGO,12H,167,6,6,6,3,0,3,3,1,5,4,60.16
AXTI,8H,105,2,2,2,2,0,0,2,1,1,0,-15.43
AXTI,12H,71,1,1,1,1,0,0,1,1,0,0,0.00
BB,8H,150,2,2,2,2,0,0,2,1,1,1,0.96
BB,12H,101,2,2,2,1,0,1,1,1,1,1,0.52
BE,8H,165,4,4,3,3,1,0,3,1,3,3,34.14
BE,12H,111,2,2,2,2,0,0,2,1,1,1,13.16
BMNR,8H,254,8,8,8,4,0,4,4,0,8,5,-0.69
BMNR,12H,171,5,5,4,3,1,1,3,0,5,4,0.24
BOT,8H,57,2,2,2,2,0,0,2,1,1,1,3.23
BOT,12H,39,2,2,1,1,1,0,1,1,1,1,1.82
BSP,8H,45,2,2,2,0,0,2,0,0,2,2,2.55
BX,8H,117,3,3,2,2,1,0,2,1,2,1,1.14
BX,12H,79,1,1,1,1,0,0,1,0,1,1,6.18
CBRS,8H,201,4,4,4,3,0,1,3,1,3,3,23.93
CBRS,12H,135,2,2,2,2,0,0,2,1,1,1,17.34
CGNX,8H,117,4,4,3,2,1,1,2,1,3,2,3.08
CGNX,12H,79,2,2,2,2,0,0,2,1,1,1,3.62
CIEN,8H,120,4,4,4,3,0,1,3,1,3,2,14.52
CIEN,12H,81,1,1,1,1,0,0,1,1,0,0,0.00
COHR,8H,207,6,6,4,3,2,1,3,1,5,5,114.09
COHR,12H,139,5,5,3,3,2,0,3,1,4,4,106.78
COIN,8H,435,9,9,9,7,0,2,7,1,8,4,-2.37
COIN,12H,291,8,8,7,5,1,2,5,0,8,6,26.01
COST,8H,254,9,9,8,7,1,1,7,0,9,6,58.97
COST,12H,171,7,7,6,5,1,1,5,0,7,5,80.81
CRCL,8H,435,11,11,7,7,4,0,7,0,11,8,-12.03
CRCL,12H,291,8,8,6,6,2,0,6,0,8,5,-20.48
CRDO,8H,120,4,4,3,3,1,0,3,1,3,3,53.32
CRDO,12H,81,3,3,3,2,0,1,2,1,2,2,46.94
CRWD,8H,168,4,4,4,3,0,1,3,0,4,3,-191.12
CRWD,12H,113,3,3,2,2,1,0,2,0,3,2,-201.13
CRWV,8H,305,7,7,7,5,0,2,5,1,6,5,-0.05
CRWV,12H,205,4,4,4,3,0,1,3,1,3,3,25.19
CSCO,8H,189,5,5,4,3,1,1,3,1,4,3,1.93
CSCO,12H,127,5,5,4,1,1,3,1,1,4,4,7.00
DELL,8H,162,5,5,4,3,1,1,3,1,4,4,92.89
DELL,12H,109,4,4,4,1,0,3,1,1,3,3,63.14
DKNG,8H,99,2,2,2,2,0,0,2,1,1,1,1.89
DKNG,12H,67,2,2,1,0,1,1,0,1,1,1,0.29
DRAM,8H,222,3,3,3,3,0,0,3,1,2,2,5.48
DRAM,12H,149,3,3,3,2,0,1,2,1,2,2,14.05
EWJ,8H,396,13,13,9,8,4,1,8,1,12,12,14.87
EWJ,12H,265,7,7,6,6,1,0,6,1,6,6,13.40
EWT,8H,144,2,2,2,2,0,0,2,1,1,1,2.83
EWT,12H,97,1,1,1,1,0,0,1,1,0,0,0.00
EWY,8H,396,5,5,4,3,1,1,3,1,4,3,-0.48
EWY,12H,265,4,4,4,3,0,1,3,1,3,3,23.59
EWZ,8H,99,3,3,3,2,0,1,2,1,2,2,1.69
EWZ,12H,67,2,2,1,0,1,1,0,1,1,1,0.40
FLNC,8H,120,3,3,3,3,0,0,3,1,2,1,-1.35
FLNC,12H,81,1,1,1,1,0,0,1,1,0,0,0.00
GEV,8H,183,3,3,3,2,0,1,2,0,3,2,-21.07
GEV,12H,123,2,2,2,2,0,0,2,0,2,2,115.51
GLW,8H,192,4,4,4,3,0,1,3,1,3,2,24.71
GLW,12H,129,3,3,3,1,0,2,1,1,2,2,24.60
GME,8H,222,6,6,4,3,2,1,3,1,5,5,2.47
GME,12H,149,5,5,5,2,0,3,2,0,5,5,3.45
GOOGL,8H,417,9,9,9,8,0,1,8,1,8,5,22.55
GOOGL,12H,279,7,7,6,4,1,2,4,1,6,5,16.79
HIMS,8H,254,7,7,7,4,0,3,4,1,6,6,11.72
HIMS,12H,171,5,5,3,2,2,1,2,1,4,3,7.13
HOOD,8H,438,14,14,10,7,4,3,7,1,13,12,30.33
HOOD,12H,293,9,9,6,5,3,1,5,1,8,6,23.65
HPE,8H,147,3,3,3,3,0,0,3,1,2,1,2.53
HPE,12H,99,2,2,2,1,0,1,1,1,1,1,4.39
HYUNDAI,8H,123,3,3,3,3,0,0,3,1,2,1,-47.68
HYUNDAI,12H,83,2,2,2,2,0,0,2,1,1,0,-50.78
IBM,8H,165,3,3,3,2,0,1,2,1,2,1,-6.63
IBM,12H,111,2,2,2,2,0,0,2,1,1,1,6.17
INFQ,8H,168,4,4,4,1,0,3,1,1,3,2,0.99
INFQ,12H,113,3,3,3,1,0,2,1,1,2,2,1.09
INTC,8H,435,10,10,9,5,1,4,5,1,9,8,30.19
INTC,12H,291,7,7,6,2,1,4,2,1,6,6,13.25
IREN,8H,129,2,2,2,2,0,0,2,0,2,1,-1.79
IREN,12H,87,1,1,1,1,0,0,1,1,0,0,0.00
ISRG,8H,120,3,3,3,2,0,1,2,1,2,2,15.58
ISRG,12H,81,4,4,3,1,1,2,1,1,3,3,16.97
IWM,8H,305,17,17,12,9,5,3,9,1,16,16,56.87
IWM,12H,205,11,11,8,6,3,2,6,1,10,10,40.70
JNJ,8H,33,1,1,1,1,0,0,1,1,0,0,0.00
KIOXIA,8H,76,1,1,1,1,0,0,1,1,0,0,0.00
KIOXIA,12H,52,1,1,1,1,0,0,1,1,0,0,0.00
KLAC,8H,84,2,2,2,1,0,1,1,1,1,1,7.05
KLAC,12H,57,2,2,2,1,0,1,1,1,1,1,9.96
KORU,8H,81,1,1,1,1,0,0,1,1,0,0,0.00
KORU,12H,55,1,1,1,1,0,0,1,1,0,0,0.00
LITE,8H,222,7,7,7,5,0,2,5,1,6,6,307.15
LITE,12H,149,6,6,5,4,1,1,4,1,5,5,332.73
LLY,8H,254,8,8,7,4,1,3,4,1,7,6,166.83
LLY,12H,171,5,5,2,2,3,0,2,1,4,4,73.56
LRCX,8H,84,2,2,2,2,0,0,2,1,1,1,18.12
LRCX,12H,57,2,2,2,1,0,1,1,1,1,1,4.21
LUNR,8H,150,3,3,2,2,1,0,2,1,2,1,-0.04
LUNR,12H,101,2,2,2,2,0,0,2,1,1,1,0.91
META,8H,417,10,10,10,9,0,1,9,1,9,6,12.87
