symbol,entry_ts,exit_ts,side,entry_px,exit_px,qty,bars_held,entry_z,reason,gross,cost,pnl,ret_pct,equity
SNDK,2026-03-09 00:15:00+00:00,2026-03-09 02:15:00+00:00,long,496.04,485.424329,3.24,8,-4.210057968638129,time_stop,-34.394774040000065,1.1078213329800002,-35.50259537298007,-0.35502595372980067,9964.49740462702
COIN,2026-03-10 02:45:00+00:00,2026-03-10 04:45:00+00:00,short,203.37,202.48072599999998,6.39,8,2.7506714950105837,time_stop,5.682460860000184,0.9068327795699999,4.775628080430184,0.04792643207687141,9969.27303270745
MSTR,2026-03-10 02:45:00+00:00,2026-03-10 04:45:00+00:00,short,141.60999999999999,141.002288,10.59,8,3.359763318136031,time_stop,6.435670079999918,1.04653709496,5.389132985039918,0.054057431944727674,9974.662165692489
MSTR,2026-03-12 02:45:00+00:00,2026-03-12 04:45:00+00:00,long,135.95000000000002,135.719272,15.3,8,-2.5425829800765447,time_stop,-3.530138400000422,1.4542594308,-4.984397830800422,-0.0499705929684926,9969.677767861689
INTC,2026-03-12 03:45:00+00:00,2026-03-12 05:45:00+00:00,long,46.88,47.125858,43.72,8,-3.258589087177949,time_stop,10.748911759999928,1.4400899758799999,9.308821784119928,0.09337134058763563,9978.986589645809
MSTR,2026-03-13 00:30:00+00:00,2026-03-13 02:30:00+00:00,short,139.51,139.001688,8.99,8,2.6950172774962726,time_stop,4.569724879999905,0.8756515675600001,3.6940733124399046,0.03701852166304014,9982.680662958248
MU,2026-03-16 00:15:00+00:00,2026-03-16 02:15:00+00:00,short,435.11,435.01046399999996,4.92,8,3.9438940069910005,time_stop,0.48971712000028217,1.49827398144,-1.0085568614397178,-0.010103066455707339,9981.672106096808
INTC,2026-03-16 00:15:00+00:00,2026-03-16 02:15:00+00:00,short,46.58,46.213860000000004,71.98,8,5.131520212847734,time_stop,26.354757199999597,2.3338025014,24.020954698599596,0.24065060886870435,10005.693060795407
SNDK,2026-03-16 00:15:00+00:00,2026-03-16 02:15:00+00:00,short,683.2,676.6429320000001,2.59,8,5.5207246365499865,time_stop,16.982806119999893,1.2301501969400002,15.752655923059892,0.15743692942953047,10021.445716718466
COIN,2026-03-16 03:45:00+00:00,2026-03-16 05:45:00+00:00,short,201.95999999999998,202.86084,9.57,8,3.808406560185625,time_stop,-8.621038800000159,1.3572405594,-9.978279359400158,-0.09956926017923448,10011.467437359066
MSTR,2026-03-16 03:45:00+00:00,2026-03-16 05:45:00+00:00,short,144.13,145.253563,13.04,8,3.2819679812098905,time_stop,-14.65126152000024,1.32294427076,-15.97420579076024,-0.15955908452691417,9995.493231568305
COIN,2026-03-17 00:15:00+00:00,2026-03-17 02:15:00+00:00,short,207.29,205.26155999999997,8.13,8,3.094639377356039,time_stop,16.491217200000143,1.1714417814000002,15.319775418600143,0.15326682799620536,10010.813006986906
COIN,2026-03-23 00:30:00+00:00,2026-03-23 02:30:00+00:00,long,192.22,193.311989,16.77,8,-3.034226137960352,time_stop,18.312655530000207,2.265626907765,16.047028622235207,0.16029695701073837,10026.860035609141
MSTR,2026-03-23 00:45:00+00:00,2026-03-23 02:45:00+00:00,long,131.29000000000002,132.41026499999998,17.61,8,-2.6330066381012,time_stop,19.72786664999931,1.6282757633249998,18.09959088667431,0.18051105552880836,10044.959626495815
SNDK,2026-03-23 01:00:00+00:00,2026-03-23 03:00:00+00:00,long,686.49,690.062919,2.31,8,-3.9698744348232453,time_stop,8.2534428899999,1.114181051445,7.1392618385549,0.07107307648826691,10052.098888334369
MU,2026-03-23 03:15:00+00:00,2026-03-23 05:15:00+00:00,long,411.31,412.22629500000005,4.31,8,-2.576335401545296,time_stop,3.9492314500002057,1.242896885725,2.7063345642752057,0.0269230793920656,10054.805222898643
SNDK,2026-03-23 04:00:00+00:00,2026-03-23 06:00:00+00:00,long,688.54,691.312544,2.71,8,-2.574225650831203,time_stop,7.5135942400001055,1.30991717712,6.2036770628801055,0.061698629912312536,10061.008899961524
MU,2026-03-26 02:30:00+00:00,2026-03-26 04:30:00+00:00,long,376.07,378.78632999999996,7.66,8,-2.974151527232163,time_stop,20.807087799999778,2.0268908838999997,18.78019691609978,0.186663157769114,10079.789096877623
SNDK,2026-03-26 02:30:00+00:00,2026-03-26 04:30:00+00:00,long,660.13,667.119804,2.44,8,-2.8764273371542006,time_stop,17.05512176000012,1.1360296008800002,15.919092159120119,0.15793080595358205,10095.708189036743
COIN,2026-03-30 00:15:00+00:00,2026-03-30 02:15:00+00:00,long,158.69,161.44155300000003,16.24,8,-3.2883185708261227,time_stop,44.68522072000048,1.8263305303600001,42.858890189640476,0.4245258419432362,10138.567079226383
MU,2026-03-30 00:45:00+00:00,2026-03-30 02:45:00+00:00,long,351.46000000000004,353.403947,11.99,8,-3.3929931014783925,time_stop,23.307924529999763,2.9614577422650004,20.346466787734762,0.200683850377871,10158.913546014117
SNDK,2026-03-30 03:15:00+00:00,2026-03-30 05:15:00+00:00,short,618.08,621.3863600000001,2.85,8,2.8397297534024535,time_stop,-9.423126000000115,1.2377811630000002,-10.660907163000115,-0.10494141046394627,10148.252638851116
MSTR,2026-03-30 03:30:00+00:00,2026-03-30 05:30:00+00:00,short,128.42999999999998,128.688595,11.43,8,2.621761963017581,time_stop,-2.9557408500001587,1.029046300425,-3.9847871504251584,-0.03926574645146277,10144.267851700692
MU,2026-03-30 04:30:00+00:00,2026-03-30 06:30:00+00:00,short,358.63,357.75729499999994,5.41,8,2.7369797669106717,time_stop,4.721334050000287,1.3557711429750001,3.365562907025287,0.03317699173786158,10147.633414607717
SNDK,2026-04-01 00:15:00+00:00,2026-04-01 02:15:00+00:00,short,650.01,646.9140160000001,1.47,8,2.770403256262855,time_stop,4.551096479999898,0.66658474176,3.884511738239898,0.038279977010679825,10151.517926345958
MU,2026-04-02 01:30:00+00:00,2026-04-02 03:30:00+00:00,long,358.1,352.81412400000005,2.17,8,-2.63066518179673,time_stop,-11.470350919999943,0.5382187245400001,-12.008569644539943,-0.1182933402833721,10139.509356701417
COIN,2026-04-02 01:30:00+00:00,2026-04-02 03:30:00+00:00,long,170.10000000000002,167.64969,9.56,8,-3.4246173009967373,time_stop,-23.42496360000029,1.1265967182,-24.551560318200288,-0.24213755769132597,10114.957796383216
MSTR,2026-04-02 01:45:00+00:00,2026-04-02 03:45:00+00:00,long,120.19,119.76406,9.59,8,-2.606962501164195,time_stop,-4.084764599999972,0.8047930877,-4.8895576876999725,-0.04833987235664316,10110.068238695516
COIN,2026-04-02 03:45:00+00:00,2026-04-02 05:45:00+00:00,long,167.69,167.369774,6.11,8,-2.694362859461069,time_stop,-1.9565808599999452,0.71623183957,-2.6728126995699455,-0.026437138073311495,10107.395425995946
MU,2026-04-06 00:15:00+00:00,2026-04-06 02:15:00+00:00,short,379.89,376.88303099999996,3.2,8,5.714228786755219,time_stop,9.622300800000085,0.8461424496,8.776158350400085,0.08682907891214035,10116.171584346346
