entry_ts,exit_ts,side,entry_px,exit_px,qty,bars_held,entry_z,reason,gross,cost,pnl,ret_pct,equity
2026-03-06 09:45:00+00:00,2026-03-06 11:45:00+00:00,long,390.23,390.48282000000006,4.48,8,-3.5775920017067877,time_stop,1.1326336000001902,1.2243275968000003,-0.09169399679981005,-0.0009169399679981006,9999.9083060032
2026-03-09 09:45:00+00:00,2026-03-09 11:45:00+00:00,short,375.67,364.749392,1.46,8,2.5572549662137765,time_stop,15.944087680000022,0.37596269616000005,15.568124983840022,0.15568267735509214,10015.47643098704
2026-03-11 10:00:00+00:00,2026-03-11 12:00:00+00:00,long,399.99,406.448029,3.07,8,-2.7348007624033253,time_stop,19.826149030000032,0.869491584515,18.956657445485032,0.18927364640222935,10034.433088432526
2026-03-19 11:15:00+00:00,2026-03-19 13:15:00+00:00,long,432.49,425.03245200000003,2.29,8,-2.6981288044075398,time_stop,-17.077784919999942,0.6847425775400001,-17.762527497539942,-0.17701575506060419,10016.670560934986
2026-03-25 12:30:00+00:00,2026-03-25 14:30:00+00:00,long,389.99,382.73514500000005,4.1,8,-4.040154055110275,time_stop,-29.74490549999985,1.1043988472500001,-30.84930434724985,-0.3079796241633635,9985.821256587737
2026-03-26 08:15:00+00:00,2026-03-26 10:15:00+00:00,long,372.59000000000003,374.367656,7.47,8,-3.388733668028842,time_stop,13.279090319999844,1.95491265516,11.324177664839844,0.1134025672387154,9997.145434252576
2026-03-30 08:45:00+00:00,2026-03-30 10:45:00+00:00,short,363.01,361.56843799999996,3.81,8,2.942274875960856,time_stop,5.492351220000126,0.9654014943900001,4.526949725610126,0.045282423421587226,10001.672383978186
2026-03-30 11:30:00+00:00,2026-03-30 13:30:00+00:00,short,365.26,347.184124,5.09,8,3.1584488503303536,time_stop,92.00620883999997,1.2554182755799999,90.75079056441997,0.9073561608536076,10092.423174542606
2026-04-06 08:45:00+00:00,2026-04-06 10:45:00+00:00,short,382.65,377.39318399999996,3.47,8,2.5335449265395824,time_stop,18.241151520000052,0.92033627424,17.320815245760052,0.17162196774953445,10109.743989788365
2026-04-07 12:15:00+00:00,2026-04-07 14:15:00+00:00,long,370.23,371.408544,3.51,8,-2.976063841281879,time_stop,4.136689439999958,0.9117234547199999,3.224965985279958,0.031899581122305634,10112.968955773646
2026-04-15 10:30:00+00:00,2026-04-15 12:30:00+00:00,long,452.89,455.783224,5.84,8,-2.620774129973404,time_stop,16.896428160000188,1.8598625340800001,15.036565625920188,0.14868596642270504,10128.005521399566
2026-04-16 10:45:00+00:00,2026-04-16 12:45:00+00:00,long,442.71000000000004,447.46572000000003,3.21,8,-4.6548001557412775,time_stop,15.26586119999999,1.0024023006,14.26345889939999,0.14083186338378847,10142.268980298966
2026-04-17 12:15:00+00:00,2026-04-17 14:15:00+00:00,short,463.17,458.377472,2.88,8,2.7370504989785385,time_stop,13.802480640000011,0.92684947968,12.875631160320012,0.1269502039960734,10155.144611459285
2026-04-20 11:15:00+00:00,2026-04-20 13:15:00+00:00,short,453.61,458.84761299999997,8.37,8,2.6272920948111076,time_stop,-43.8388208099996,2.6796204004049997,-46.5184412104046,-0.4580775852065384,10108.626170248881
2026-04-21 10:15:00+00:00,2026-04-21 12:15:00+00:00,short,454.7,453.005861,13.13,8,3.424979593165484,time_stop,22.24404507000009,4.168025677465001,18.07601939253509,0.1788177650266203,10126.702189641415
2026-04-24 11:30:00+00:00,2026-04-24 13:30:00+00:00,short,496.65,500.15,1.99,8,2.564798374361251,time_stop,-6.965,0.6953159499999999,-7.660315949999999,-0.07564472427989165,10119.041873691416
2026-04-27 11:15:00+00:00,2026-04-27 13:15:00+00:00,short,514.84,511.843507,2.87,8,2.5695815405513107,time_stop,8.599934910000126,1.030013592545,7.569921317455126,0.07480867667062659,10126.611795008872
2026-04-28 09:15:00+00:00,2026-04-28 11:15:00+00:00,long,514.8,507.54769,4.19,8,-2.848075241770995,time_stop,-30.38717889999986,1.49471481055,-31.88189371054986,-0.31483278273058285,10094.729901298322
2026-04-29 09:00:00+00:00,2026-04-29 11:00:00+00:00,short,523.61,530.619138,6.9,8,2.824796170341397,time_stop,-48.363052200000055,2.5532178261,-50.91627002610006,-0.5043846692673919,10043.813631272222
2026-04-29 11:15:00+00:00,2026-04-29 13:15:00+00:00,short,530.47,528.0783759999999,4.15,8,3.8946188450131376,time_stop,9.925239600000385,1.5360527302000002,8.389186869800385,0.083525911349848,10052.202818142023
2026-05-05 10:45:00+00:00,2026-05-05 12:45:00+00:00,short,600.75,605.471587,2.46,8,2.892450117501336,time_stop,-11.615104019999999,1.04029905201,-12.65540307201,-0.12589681387217708,10039.547415070012
2026-05-06 12:45:00+00:00,2026-05-06 14:45:00+00:00,long,664.11,656.5229840000001,1.59,8,-2.5424741595683367,time_stop,-12.063355439999919,0.7331227522800001,-12.796478192279919,-0.12746070777126442,10026.750936877732
2026-05-08 09:00:00+00:00,2026-05-08 11:00:00+00:00,short,665.75,661.148285,3.43,8,3.1849209557775535,time_stop,15.783882450000045,1.5905738087750003,14.193308641225045,0.14155441508996686,10040.944245518956
2026-05-08 12:45:00+00:00,2026-05-08 13:30:00+00:00,short,671.87,690.4988090633159,4.08,3,4.042238930309143,stop,-76.00554097832881,1.9568634904891646,-77.96240446881798,-0.7764449494240625,9962.98184105014
2026-05-11 08:30:00+00:00,2026-05-11 10:30:00+00:00,long,749.19,766.150086,0.75,8,-2.7476417574319205,time_stop,12.72006449999995,0.39968478225,12.32037971774995,0.12366156954122613,9975.30222076789
2026-05-14 08:45:00+00:00,2026-05-14 10:45:00+00:00,long,783.59,792.882064,2.07,8,-3.1825787504942626,time_stop,19.23457247999996,1.14503919624,18.089533283759963,0.1813432102949102,9993.39175405165
2026-05-18 13:00:00+00:00,2026-05-18 15:00:00+00:00,short,753.88,705.491584,1.52,8,2.76383594483634,time_stop,73.55039232000001,0.7653531238400001,72.78503919616001,0.7283316914565124,10066.17679324781
2026-05-20 08:30:00+00:00,2026-05-20 10:30:00+00:00,short,725.03,727.788271,1.49,8,2.523663437002964,time_stop,-4.109823790000053,0.758261201895,-4.868084991895054,-0.048360813562905704,10061.308708255916
2026-05-22 09:15:00+00:00,2026-05-22 11:15:00+00:00,long,753.48,755.833182,5.56,8,-3.4721885729501225,time_stop,13.083691919999705,2.9390860059599997,10.144605914039705,0.10082789633236718,10071.453314169956
2026-05-25 08:45:00+00:00,2026-05-25 10:45:00+00:00,short,789.6,792.887795,4.54,8,2.547099720280738,time_stop,-14.926589299999819,2.51681209465,-17.44340139464982,-0.173196467783929,10054.009912775306
2026-05-25 11:15:00+00:00,2026-05-25 13:15:00+00:00,short,794.4,791.427357,4.56,8,2.9799485994663577,time_stop,13.555252079999763,2.52894717396,11.026304906039762,0.10967071846655922,10065.036217681345
2026-05-26 10:15:00+00:00,2026-05-26 12:15:00+00:00,short,800.04,810.713141,1.46,8,2.5293267377754,time_stop,-15.58278585999998,0.82543227293,-16.40821813292998,-0.1630219482380551,10048.627999548415
2026-05-26 12:45:00+00:00,2026-05-26 14:30:00+00:00,short,814.27,888.7572907647099,1.01,7,2.6012606555425344,stop,-75.23216367235698,0.6133049718361785,-75.84546864419315,-0.7547843212785033,9972.782530904222
2026-05-27 11:15:00+00:00,2026-05-27 13:15:00+00:00,short,967.12,957.747238,0.9,8,2.784738571259172,time_stop,8.43548579999997,0.6050678571000001,7.83041794289997,0.07851788524049962,9980.612948847122
2026-05-29 08:15:00+00:00,2026-05-29 10:15:00+00:00,short,948.73,956.866974,3.66,8,4.719920094449363,time_stop,-29.781324840000035,2.4455369224200005,-32.226861762420036,-0.322894615066128,9948.386087084702
2026-06-01 10:15:00+00:00,2026-06-01 12:15:00+00:00,short,1022.17,1011.513363,2.09,8,2.6644004856710075,time_stop,22.272371329999856,1.4842985243349998,20.788072805664857,0.2089592485021522,9969.174159890366
2026-06-02 11:30:00+00:00,2026-06-02 13:30:00+00:00,short,1050.51,1036.920983,1.27,8,2.6790062188824884,time_stop,17.258051590000015,0.925274364205,16.332777225795017,0.16383280062964245,9985.50693711616
2026-06-03 08:15:00+00:00,2026-06-03 10:15:00+00:00,short,1072.19,1089.12664,3.99,8,3.6963406417568376,time_stop,-67.57719359999959,3.0284152668,-70.60560886679959,-0.7070808654126343,9914.901328249362
2026-06-04 08:30:00+00:00,2026-06-04 09:15:00+00:00,long,1040.26,997.7744157738455,1.76,3,-2.651876693634793,stop,-74.77462823803195,1.2442130058809842,-76.01884124391293,-0.7667130385586531,9838.882487005449
2026-06-04 10:15:00+00:00,2026-06-04 12:15:00+00:00,long,1013.63,1011.2965200000001,0.71,8,-2.585817273379498,time_stop,-1.6567707999999253,0.5029457246,-2.1597165245999252,-0.02195083158531812,9836.722770480848
2026-06-10 12:45:00+00:00,2026-06-10 14:45:00+00:00,short,920.95,922.9568039999999,1.34,8,2.635002071879856,time_stop,-2.689117359999832,0.86519565868,-3.5543130186798324,-0.03613310145677803,9833.168457462169
2026-06-15 08:15:00+00:00,2026-06-15 10:15:00+00:00,short,1055.23,1057.807247,1.86,8,4.512188176297897,time_stop,-4.793679419999894,1.3763062997100002,-6.169985719709895,-0.0627466695643522,9826.99847174246
2026-06-16 08:30:00+00:00,2026-06-16 10:30:00+00:00,short,1121.06,1128.468439,0.8,8,3.579347630117936,time_stop,-5.9267512000000355,0.6307569756,-6.557508175600035,-0.06672951252059471,9820.44096356686
2026-06-18 08:15:00+00:00,2026-06-18 10:15:00+00:00,short,1092.54,1092.517657,2.71,8,2.684418345139454,time_stop,0.06054952999963234,2.0725181052350004,-2.011968575235368,-0.020487558376447952,9818.428994991624
2026-06-18 12:00:00+00:00,2026-06-18 13:15:00+00:00,short,1093.8,1111.4778213614582,4.24,5,2.726948597171361,stop,-74.95396257258277,3.283875381286292,-78.23783795386906,-0.7968468070989579,9740.191157037754
2026-06-22 10:45:00+00:00,2026-06-22 12:45:00+00:00,short,1179.26,1186.365803,2.2,8,2.936225013363198,time_stop,-15.632766599999833,1.8238767833000002,-17.456643383299834,-0.1792228006807297,9722.734513654454
2026-06-23 08:15:00+00:00,2026-06-23 10:15:00+00:00,long,1109.6,1106.3479960000002,0.55,8,-3.0897218342140182,time_stop,-1.7886021999998436,0.4263016989000001,-2.2149038988998435,-0.022780668296447544,9720.519609755554
2026-07-01 09:15:00+00:00,2026-07-01 11:15:00+00:00,long,1116.23,1126.5219419999999,1.96,8,-3.5423082186970967,time_stop,20.172206319999678,1.54155366316,18.63065265683968,0.1916631353548413,9739.150262412395
2026-07-01 12:45:00+00:00,2026-07-01 14:45:00+00:00,long,1105.92,1054.9088861019468,1.44,8,-2.735994504879368,stop,-73.45600401319672,1.0780393579934018,-74.53404337119012,-0.765303351554697,9664.616219041205
2026-07-02 12:15:00+00:00,2026-07-02 14:15:00+00:00,short,1050.56,1016.254785,0.63,8,2.6946183816716647,time_stop,21.612285449999984,0.45249081727499996,21.159794632724985,0.2189408679367527,9685.77601367393
2026-07-03 11:00:00+00:00,2026-07-03 13:00:00+00:00,short,1030.36,1021.776441,1.47,8,3.019394430283102,time_stop,12.617831729999887,1.053931524135,11.563900205864886,0.11939053917352112,9697.339913879796
2026-07-08 09:15:00+00:00,2026-07-08 11:15:00+00:00,long,879.55,893.841767,0.58,8,-2.7130336072634798,time_stop,8.289224860000028,0.36124191243,7.927982947570028,0.08175420288426428,9705.267896827367
2026-07-09 12:15:00+00:00,2026-07-09 14:15:00+00:00,short,1007.63,1016.50486,0.71,8,2.510282906195829,time_stop,-6.301150600000009,0.5039426853,-6.805093285300009,-0.0701175213053581,9698.462803542066
2026-07-14 08:30:00+00:00,2026-07-14 10:30:00+00:00,short,973.34,969.3407149999999,0.73,8,2.5042106761427,time_stop,2.9194780500000728,0.495917000975,2.4235610490250727,0.024989125577096004,9700.886364591091
2026-07-14 12:45:00+00:00,2026-07-14 14:45:00+00:00,short,986.86,965.479557,1.6,8,4.156891490355531,time_stop,34.208708800000025,1.0881788456,33.12052995440003,0.3414175644330013,9734.006894545491
2026-07-16 08:15:00+00:00,2026-07-16 10:15:00+00:00,long,873.91,879.1961620000001,1.26,8,-3.1815302840364788,time_stop,6.660564120000131,0.77411890206,5.886445217940131,0.060472992075222755,9739.893339763432
2026-07-16 11:15:00+00:00,2026-07-16 13:15:00+00:00,long,867.01,867.919546,1.01,8,-2.698888252742536,time_stop,0.9186414599999774,0.6134353907300001,0.3052060692699773,0.003133566853591338,9740.198545832702
2026-07-17 10:15:00+00:00,2026-07-17 12:15:00+00:00,short,854.73,829.528784,0.94,8,3.0895374350762697,time_stop,23.68914304000004,0.5505677684799999,23.13857527152004,0.2375575319398368,9763.337121104221
2026-07-20 09:45:00+00:00,2026-07-20 11:45:00+00:00,short,881.3,896.398839,1.43,8,2.7358671737233884,time_stop,-21.591339769999998,0.8929769698849999,-22.484316739884996,-0.2302933562673297,9740.852804364336
