date_taipei,trades,wins,losses,net_pnl_usdt,return_on_starting_capital_pct,ending_equity_usdt
2026-05-18,5,3,2,-1.916178,-1.9162,98.083822
2026-05-19,1,1,0,0.211776,0.2118,98.295598
2026-05-20,0,0,0,0,0.0,98.295598
2026-05-21,1,1,0,0.361296,0.3613,98.656894
2026-05-22,0,0,0,0,0.0,98.656894
2026-05-23,2,0,2,-2.042894,-2.0429,96.614
2026-05-24,2,1,1,-1.197808,-1.1978,95.416192
2026-05-25,6,1,5,-10.401636,-10.4016,85.014556
2026-05-26,2,2,0,0.601461,0.6015,85.616017
2026-05-27,7,4,3,-3.999625,-3.9996,81.616392
2026-05-28,5,2,3,-3.334195,-3.3342,78.282198
2026-05-29,1,0,1,-1.673323,-1.6733,76.608875
2026-05-30,1,1,0,0.357534,0.3575,76.966409
2026-05-31,5,1,4,-5.255842,-5.2558,71.710567
2026-06-01,1,0,1,-1.530927,-1.5309,70.179639
2026-06-02,3,1,2,-2.132322,-2.1323,68.047317
2026-06-03,2,0,2,-1.888155,-1.8882,66.159162
2026-06-04,0,0,0,0,0.0,66.159162
2026-06-05,0,0,0,0,0.0,66.159162
2026-06-06,2,1,1,-1.071065,-1.0711,65.088098
2026-06-07,1,1,0,0.283253,0.2833,65.37135
2026-06-08,1,1,0,0.361081,0.3611,65.732432
2026-06-09,1,0,1,-1.343843,-1.3438,64.388589
2026-06-10,4,4,0,2.354147,2.3541,66.742735
2026-06-11,8,4,4,-4.031136,-4.0311,62.7116
2026-06-12,6,4,2,-0.469746,-0.4697,62.241854
2026-06-13,9,2,7,-9.819375,-9.8194,52.422479
2026-06-14,6,2,4,-4.724253,-4.7243,47.698226
2026-06-15,4,2,2,0.273322,0.2733,47.971548
2026-06-16,3,3,0,0.831664,0.8317,48.803212
