date_taipei,trades,wins,losses,net_pnl_usdt,return_on_starting_capital_pct,ending_equity_usdt
2026-05-18,15,11,4,0.556139,0.5561,100.556139
2026-05-19,3,2,1,0.449998,0.45,101.006137
2026-05-20,3,3,0,0.761492,0.7615,101.767628
2026-05-21,0,0,0,0,0.0,101.767628
2026-05-22,6,5,1,0.644711,0.6447,102.41234
2026-05-23,0,0,0,0,0.0,102.41234
2026-05-24,8,6,2,1.801215,1.8012,104.213554
2026-05-25,3,2,1,0.724905,0.7249,104.938459
2026-05-26,12,9,3,1.581115,1.5811,106.519574
2026-05-27,30,24,6,5.420446,5.4204,111.940021
2026-05-28,20,14,6,2.507431,2.5074,114.447452
2026-05-29,6,2,4,-4.758347,-4.7583,109.689105
2026-05-30,4,4,0,0.76839,0.7684,110.457494
2026-05-31,7,4,3,-5.293366,-5.2934,105.164128
2026-06-01,6,4,2,-1.933808,-1.9338,103.23032
2026-06-02,9,7,2,2.034209,2.0342,105.26453
2026-06-03,4,3,1,-0.773087,-0.7731,104.491442
2026-06-04,0,0,0,0,0.0,104.491442
2026-06-05,0,0,0,0,0.0,104.491442
2026-06-06,1,1,0,0.346958,0.347,104.8384
2026-06-07,1,1,0,0.031097,0.0311,104.869497
2026-06-08,2,2,0,2.038411,2.0384,106.907908
2026-06-09,17,11,6,2.457804,2.4578,109.365712
2026-06-10,28,19,9,4.933601,4.9336,114.299313
2026-06-11,22,18,4,3.542087,3.5421,117.841401
2026-06-12,25,18,7,5.427325,5.4273,123.268726
2026-06-13,17,13,4,-5.762353,-5.7624,117.506373
2026-06-14,12,11,1,2.857438,2.8574,120.36381
2026-06-15,23,19,4,5.095804,5.0958,125.459614
2026-06-16,5,3,2,0.444475,0.4445,125.904089
