date_taipei,trades,wins,losses,net_pnl_usdt,return_on_starting_capital_pct,ending_equity_usdt
2026-05-18,13,10,3,4.36739,4.3674,104.36739
2026-05-19,3,1,2,-0.379598,-0.3796,103.987793
2026-05-20,2,2,0,1.778095,1.7781,105.765888
2026-05-21,0,0,0,0,0.0,105.765888
2026-05-22,6,6,0,4.848465,4.8485,110.614353
2026-05-23,0,0,0,0,0.0,110.614353
2026-05-24,7,7,0,8.814487,8.8145,119.42884
2026-05-25,4,2,2,11.008456,11.0085,130.437296
2026-05-26,6,5,1,7.699779,7.6998,138.137075
2026-05-27,27,19,8,13.908622,13.9086,152.045697
2026-05-28,14,13,1,10.890098,10.8901,162.935795
2026-05-29,3,2,1,-2.751613,-2.7516,160.184182
2026-05-30,2,2,0,1.943659,1.9437,162.127841
2026-05-31,5,3,2,-2.693131,-2.6931,159.43471
2026-06-01,4,2,2,-1.26284,-1.2628,158.17187
2026-06-02,10,7,3,-4.201202,-4.2012,153.970667
2026-06-03,3,2,1,1.154267,1.1543,155.124934
2026-06-04,0,0,0,0,0.0,155.124934
2026-06-05,0,0,0,0,0.0,155.124934
2026-06-06,0,0,0,0,0.0,155.124934
2026-06-07,1,1,0,0.849758,0.8498,155.974692
2026-06-08,2,1,1,-0.031641,-0.0316,155.943052
2026-06-09,13,12,1,15.04341,15.0434,170.986462
2026-06-10,22,21,1,21.908693,21.9087,192.895154
2026-06-11,18,13,5,5.348895,5.3489,198.244049
2026-06-12,20,15,5,19.78247,19.7825,218.026519
2026-06-13,15,11,4,-2.189458,-2.1895,215.837061
2026-06-14,9,8,1,5.282751,5.2828,221.119812
2026-06-15,22,19,3,17.78706,17.7871,238.906872
2026-06-16,5,5,0,5.210599,5.2106,244.117471
